IS0,Country,WinOrNot,Winner2000,Team2000
AUS,Australia,Won by Ferrari,Michael Schumacher,Ferrari
BRA,Brazil,Won by Ferrari,Michael Schumacher,Ferrari
SMR,San Marino,Won by Ferrari,Michael Schumacher,Ferrari
GBR,Britain,Won by other teams,David Coulthard,McLaren
ESP,Spain,Won by other teams,Mika Hakkinen,McLaren
DEU,Germany£¨Europe£©,Won by Ferrari,Michael Schumacher,Ferrari
MCO,Monaco,Won by other teams,David Coulthard,McLaren
CAN,Canada,Won by Ferrari,Michael Schumacher,Ferrari
FRA,France,Won by other teams,David Coulthard,McLaren
AUT,Austria,Won by other teams,Mika Hakkinen,McLaren
DEU,Germany,Won by other teams,David Coulthard,McLaren
HUN,Hungary,Won by other teams,Mika Hakkinen,McLaren
BEL,Belgium,Won by other teams,Mika Hakkinen,McLaren
ITA,Italy,Won by Ferrari,Michael Schumacher,Ferrari
USA,United States,Won by Ferrari,Michael Schumacher,Ferrari
JPN,Japan,Won by Ferrari,Michael Schumacher,Ferrari
MYS,Malaysia,Won by Ferrari,Michael Schumacher,Ferrari
