Drivername,2000,Team2000,2001,Team2001,2002,Team2002,2003,Team2003,2004,Team2004,2005,Team2005,2006,Team2006
Michael Schumacher,108,Ferrari,123,Ferrari,144,Ferrari,93,Ferrari,148,Ferrari,62,Ferrari,121,Ferrari
Mika Hakkinen,89,McLaren,37,McLaren,41,McLaren,51,McLaren,24,McLaren,24,Red Bull,24,Red Bull
David Coulthard ,73,McLaren,65,MaLaren,,,,,,,,,,
Rubens Barrichello,62,Ferrari,56,Ferrari,77,Ferrari,65,Ferrari,114,Ferrari,38,Ferrari,30,Honda
Ralf Schumacher,24,Williams,49,Williams,42,Williams,58,Williams,24,Williams,,,,
Giancarlo Fisichella,18,Benetton,8,Benetton,7,Jordan,12,Jordan,22,Red Bull,58,Renault,72,Renault
Jacques Villeneuve,17,BAR,12,BAR,,,,,,,,,,
Jenson Button,12,Williams,2,Benetton,14,Renault,17,BAR,85,BAR,37,BAR,56,Honda
HeinzHarald Frentzen,11,Jordan,6,Jordan,2,Arrows,13,Sauber,,,,,,
Jarno Trulli,6,Jordan,12,Jordan,9,Renault,33,Renault,46,Renault,43,Toyota,15,Toyota
Mika Salo,6,Sauber,,,2,Toyota,,,,,,,,
Jos Verstappen,5,Arrows,1,Arrows,,,0,Minardi,,,,,,
Eddie Irvine,4,Jaguar,6,Jaguar,8,Jaguar,,,,,,,,
Ricardo Zonta,3,BAR,0,Jordan,,,,,0,Toyota,0,Toyota,,
Alexander Wurz,2,Benetton,,,,,,,,,5,McLaren,,
Pedro de la Rosa,2,Arrows,3,Jaguar,0,Jaguar,,,,,4,McLaren,19,McLaren
Marc Gene,0,Minardi,,,,,4,Williams,0,Williams,,,,
Nick Heidfeld,0,Prost,12,Sauber,7,Sauber,6,Sauber,3,Jordan,28,Williams,23,Sauber
Gaston Mazzacane,0,Minardi,0,Prost,,,,,,,,,,
Jean Alesi,0,Prost,5,Prost,,,,,,,,,,
Luciano Burti ,0,Jaguar,0,Jaguar,,,,,,,,,,
Juan Pablo Montoya,,,31,Williams,50,Williams,82,Williams,58,Williams,60,McLaren,26,McLaren
Kimi Raikkonen,,,9,Sauber,24,McLaren,91,McLaren,45,McLaren,112,McLaren,65,McLaren
Olivier Panis,,,5,BAR,3,BAR,6,Toyota,6,Toyota,,,,
Tarso Marques,,,0,Minardi,,,,,,,,,,
Fernando Alonso,,,0,Minardi,,,55,Renault,59,Renault,133,Renault,134,Renault
Tomas Enge,,,0,Prost,,,,,,,,,,
Felipe Massa,,,,,4,Red Bull,,,12,Red Bull,11,Sauber,80,Ferrari
Takuma Sato,,,,,2,Jordan,3,BAR,34,BAR,1,BAR,0,Super Aguri
Mark Webber,,,,,2,Minardi,17,Jaguar,7,Jaguar,36,Williams,7,Williams
Cristiano da Matta,,,,,,,10,Toyota,3,Toyota,,,,
Ralph Firman,,,,,,,1,Jordan,,,,,,
Justin Wilson,,,,,,,1,Minardi,,,,,,
Zsolt Baumgartner,,,,,,,,,1,Minardi,,,,
Antonio Pizzonia,,,,,,,0,Jaguar,6,Williams,0,Williams,,
Christian Klien,,,,,,,,,3,Jaguar,9,Red Bull,2,Red Bull
Timo Glock,,,,,,,,,2,Jordan,,,,
Tiago Monteiro,,,,,,,,,,,7,Jordan,0,MF1
