Drivername,FastLap,Participated,Percentage
Michael Schumacher,77,308,25.00%
Kimi R_ikk_nen,42,234,17.95%
Alain Prost,41,201,20.40%
Nigel Mansell,30,189,15.87%
Jim Clark,28,72,38.89%
Lewis Hamilton,28,169,16.57%
Mika H_kkinen,25,164,15.24%
Sebastian Vettel,25,160,15.63%
Niki Lauda,24,173,13.87%
Juan Manuel Fangio,23,51,45.10%
Nelson Piquet,23,206,11.17%
Gerhard Berger,21,210,10.00%
Fernando Alonso,21,255,8.24%
Stirling Moss,19,66,28.79%
Ayrton Senna,19,162,11.73%
Damon Hill,19,122,15.57%
Mark Webber,19,217,8.76%
David Coulthard,18,247,7.29%
Rubens Barrichello,17,326,5.21%
Jackie Stewart,15,100,15.00%
