Drivername,inPointes,Participated,Percetageinpoint
Michael Schumacher,221,308,71.75%
Fernando Alonso,179,255,70.20%
Jenson Button,155,289,53.63%
Kimi R_ikk_nen,155,234,66.24%
Felipe Massa,141,233,60.52%
Rubens Barrichello,140,326,42.94%
Lewis Hamilton,135,169,79.88%
Alain Prost,128,201,63.68%
Sebastian Vettel,125,160,78.13%
David Coulthard,121,247,48.99%
Nico Rosberg,115,187,61.50%
Mark Webber,112,217,51.61%
Nelson Piquet,100,206,48.54%
Ayrton Senna,96,162,59.26%
Gerhard Berger,94,210,44.76%
Ralf Schumacher,90,180,50.00%
Mika H_kkinen,83,164,50.61%
Nigel Mansell,82,189,43.39%
Niki Lauda,73,173,42.20%
Riccardo Patrese,73,173,42.20%
