Year,Team,Australia,Malaysia,China,Spain,Monaco,Canada,United_Kingdom,Hungary,Belgium,Italy,Singapo,Japan,Brazil,United_Arab_Emirates,Bahrain,United_States,France,Germany,Turkey,San_Marino,Austria,Korea,India,Russia,Mexico
2000,Ferrari,16,14,,6,6,16,4,9,6,10,,13,10,,,16,4,10,,13,4,,,,
2000,McLaren,0,9,,16,11,3,16,14,13,6,,10,0,,,2,16,10,,10,6,,,,
2000,Williams,4,0,,3,0,0,5,2,6,4,,2,3,,,0,2,3,,0,2,,,,
2000,Sauber,0,0,,0,2,0,0,0,0,0,,0,0,,,0,0,2,,1,1,,,,
2001,Ferrari,14,16,,10,16,6,10,16,12,9,,12,6,,,6,14,6,,4,10,,,,
2001,McLaren,6,5,,2,2,4,10,6,9,0,,7,10,,,14,3,0,,9,10,,,,
2001,Williams,0,2,,6,0,10,3,3,0,14,,7,0,,,0,6,10,,10,0,,,,
2001,Sauber,4,0,,1,0,3,5,1,0,0,,0,4,,,1,1,0,,0,3,,,,
2002,Ferrari,10,4,,10,6,14,16,16,16,16,,16,10,,,16,10,13,,16,16,,,,
2002,McLaren,4,0,,4,10,9,0,5,3,0,,4,4,,,4,10,2,,1,1,,,,
2002,Williams,6,16,,6,4,0,4,4,6,0,,3,8,,,3,5,10,,7,7,,,,
2002,Renault,0,3,,0,3,1,0,0,0,5,,1,3,,,2,1,0,,2,0,,,,
2002,Sauber,0,3,,5,0,0,1,0,0,0,,0,0,,,0,0,1,,0,0,,,,
2002,Toyota,1,0,,0,0,0,0,0,0,0,,0,1,,,0,0,0,,0,0,,,,
2003,McLaren,16,10,,0,10,3,10,12,,5,,14,13,,,8,9,8,,12,12,,,,
2003,Ferrari,5,11,,16,7,14,15,1,,16,,11,0,,,10,8,2,,16,16,,,,
2003,Williams,9,5,,9,15,14,8,11,,12,,0,2,,,3,18,10,,7,3,,,,
2003,Renault,6,10,,8,7,5,3,12,,1,,4,7,,,5,0,11,,3,1,,,,
2003,Sauber,3,1,,0,0,0,0,0,,0,,0,4,,,10,0,0,,0,0,,,,
2003,Toyota,0,0,,3,0,1,2,0,,0,,2,0,,,0,1,7,,0,0,,,,
2004,Ferrari,18,15,10,18,6,18,16,18,14,18,,10,8,,18,18,16,10,,13,,,,,
2004,McLaren,1,3,6,0,0,7,10,0,12,3,,3,8,,0,5,5,5,,1,,,,,
2004,Renault,8,6,5,11,10,0,13,6,0,0,,4,5,,8,5,13,6,,9,,,,,
2004,Williams,9,8,4,3,5,0,1,7,0,6,,10,14,,2,0,1,6,,8,,,,,
2004,Sauber,0,1,3,2,4,5,0,1,9,1,,1,1,,0,0,0,0,,0,,,,,
2004,Toyota,0,0,0,0,4,0,0,0,1,0,,0,0,,0,4,0,0,,0,,,,,
2005,Ferrari,8,2,0,0,3,14,5,8,4,0,,2,8,,0,18,6,4,0,8,,,,,
2005,McLaren,4,5,8,12,14,10,16,10,10,15,,10,18,,10,0,8,8,16,6,,,,,
2005,Renault,16,10,15,12,5,0,13,0,8,14,,14,10,,10,0,13,15,13,10,,,,,
2005,Toyota,0,12,6,11,3,3,1,11,2,7,,1,1,,13,0,6,3,3,4,,,,,
2005,Williams,4,6,2,3,14,4,0,5,5,2,,5,0,,3,0,0,0,0,5,,,,,
2005,Red Bull,7,4,4,1,0,3,0,0,0,0,,3,0,,1,0,0,2,3,1,,,,,
2005,Sauber,0,0,3,0,0,5,0,0,3,0,,0,0,,2,0,1,1,0,5,,,,,
2006,Ferrari,0,7,10,13,4,12,12,3,,10,,8,15,,8,18,16,18,16,15,,,,,
2006,Renault,14,18,14,16,13,15,15,0,,5,,16,11,,10,10,11,7,11,9,,,,,
2006,McLaren,8,5,4,4,8,6,9,8,,8,,4,5,,8,0,6,6,4,10,,,,,
2006,Sauber,8,2,2,1,2,2,3,6,,7,,1,0,,0,0,1,0,0,0,,,,,
2006,Toyota,6,1,0,0,1,3,0,3,,2,,5,0,,0,5,5,2,2,0,,,,,
2006,Red Bull,1,0,0,0,6,1,0,4,,0,,0,0,,1,2,0,1,0,0,,,,,
2006,Williams,0,0,1,0,0,0,0,0,,0,,0,0,,5,0,0,0,0,3,,,,,
2006,Toro Rosso,0,0,0,0,0,0,0,0,,0,,0,0,,0,1,0,0,0,0,,,,,
2007,Ferrari,13,10,16,10,7,4,14,8,18,6,,9,18,,16,11,18,,18,,,,,,
2007,BMW Sauber,5,5,2,5,7,8,8,10,4,9,,2,7,,8,1,9,,6,,,,,,
2007,Renault,4,4,0,2,5,5,3,1,1,2,,12,0,,1,4,3,,3,,,,,,
2007,Williams,2,0,0,3,2,6,0,2,3,3,,0,5,,0,0,0,,2,,,,,,
2007,Red Bull,0,0,1,4,0,0,0,0,2,0,,5,0,,0,2,0,,0,,,,,,
2007,Toyota,1,2,0,0,0,1,0,3,0,0,,0,1,,2,3,0,,0,,,,,,
2007,Toro Rosso,0,0,8,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,,,,,,
2007,McLaren,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,,,,,,
2008,Ferrari,1,10,14,18,6,4,5,6,10,3,0,8,16,,18,,18,9,16,,,,,,
2008,McLaren,14,10,10,6,11,0,14,14,6,10,6,0,6,,4,,5,14,8,,,,,,
2008,BMW Sauber,8,11,77,5,8,18,8,1,11,10,3,8,0,,11,,4,7,9,,,,,,
2008,Renault,5,1,6,0,0,0,3,8,5,5,10,15,8,,0,,3,8,3,,,,,,
2008,Toyota,0,5,2,1,0,8,2,10,0,0,5,4,4,,3,,6,0,0,,,,,,
2008,Toro Rosso,2,0,0,0,4,1,0,0,6,10,4,3,5,,0,,0,1,0,,,,,,
2008,Red Bull,0,2,0,4,5,6,0,0,1,1,2,1,0,,2,,3,0,2,,,,,,
2008,Williams,9,0,0,2,2,0,1,0,0,0,9,0,0,,1,,0,0,1,,,,,,
2008,Force India,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,,,,
