Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ferrari,157,167,205,148,244,90,185,196,162,64,392,347,375,355,216,418
McLaren,142,97,61,142,69,180,103,0,138,58,421,477,374,103,181,27
Williams,36,71,89,126,84,58,9,28,25,30.5,57,5,75,5,320,257
Sauber,6,23,10,18,28,20,35,,,,,44,124,71,0,35
Renault,,,21,83,109,178,195,50,80,23,153,72,,,,
Toyota,,,2,16,9,87,35,13,50,59.5,,,,,,
Red Bull,,,,,,29,16,14,29,153.5,473,610,448,614,405,161
Toro Rosso,,,,,,,1,8,36,8,11,37,26,32,30,64
BMW Sauber,,,,,,,,96,199,35,38,,,,,
Force India,,,,,,,,,0,13,60,67,93,71,155,138
Mercedes,,,,,,,,,,,213,159,119,338,701,703
Lotus,,,,,,,,,,,0,0,285,319,10,88
