Drivername,WinfromPole,Participated,Percentage
Michael Schumacher,40,308,12.99%
Ayrton Senna,29,162,17.90%
Sebastian Vettel,28,160,17.50%
Lewis Hamilton,25,169,14.79%
Alain Prost,18,201,8.96%
Nigel Mansell,17,189,8.99%
Juan Manuel Fangio,15,51,29.41%
Jim Clark,15,72,20.83%
Fernando Alonso,14,255,5.49%
Mika H_kkinen,10,164,6.10%
Alberto Ascari,9,32,28.13%
Niki Lauda,9,173,5.20%
Nico Rosberg,9,187,4.81%
Stirling Moss,8,66,12.12%
Jackie Stewart,8,100,8.00%
Mario Andretti,8,129,6.20%
Felipe Massa,8,233,3.43%
James Hunt,7,92,7.61%
Damon Hill,7,122,5.74%
Jack Brabham,6,127,4.72%
